Run ID,1021,,,,,,,,,,,,,,,,,,,
Run Date/Time,18/07/2014 08:52,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.4,,,,,,,,,,,,,,,,,,,
Protocol Name,18.07.14_BRD4 and BRD9 IC50 _10mM Stock_50uM FAC top_100nl transfer_0.5% DMSO_ 4 daughters_1in2.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H1,5.00E-05,M,BDG00021157a,Sample 4,100,100,8.199,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H2,2.50E-05,M,BDG00021157a,Sample 4,50,50,8.149,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G2,2.50E-05,M,BDG00021157a,Sample 4,50,50,8.099,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G3,1.25E-05,M,BDG00021157a,Sample 4,25,25,8.074,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H3,1.25E-05,M,BDG00021157a,Sample 4,25,25,8.049,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H4,6.25E-06,M,BDG00021157a,Sample 4,12.5,12.5,8.036,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G4,6.25E-06,M,BDG00021157a,Sample 4,12.5,12.5,8.024,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G5,3.75E-06,M,BDG00021157a,Sample 4,7.5,7.5,8.016,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H5,3.75E-06,M,BDG00021157a,Sample 4,7.5,7.5,8.009,85.167,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,D1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H6,1.25E-06,M,BDG00021157a,Sample 4,2.5,2.5,8.006,85.167,Percent,DMSO,
