Run ID,1215
Run Date/Time,2014-10-21 10:17:59
Application Name,Labcyte Echo Dose-Response
Application Version,1.5.4
Protocol Name,21.10.2014_Novartis_CECR_FALZ_IC50_10mM Stock_5uM FAC 10nltransfer 1in2 .edr
User Name,ACCESS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,E7,0.0001562,M,BDV00005308a,Sample 37,312.5,312.5,7.458,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,D7,0.00125,M,BDV00005308a,Sample 37,2500,2500,4.958,86.477,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,D9,0.00125,M,BDV00005298a,Sample 35,2500,2500,5.903,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,E9,0.0001562,M,BDV00005298a,Sample 35,312.5,312.5,5.59,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,F9,2E-05,M,BDV00005298a,Sample 35,40,40,5.55,86.859,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,F10,2E-05,M,BDV00005299a,Sample 33,40,40,8.066,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,E10,0.0001562,M,BDV00005299a,Sample 33,312.5,312.5,7.754,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A3,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,D10,0.00125,M,BDV00005299a,Sample 33,2500,2500,5.254,84.609,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C1,5E-06,M,BDV00005302a,Sample 7,10,10,5.231,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D1,5E-06,M,BDV00005302a,Sample 7,10,10,5.221,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D2,2.5E-06,M,BDV00005302a,Sample 7,5,5,5.216,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C2,2.5E-06,M,BDV00005302a,Sample 7,5,5,5.211,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C3,1.25E-06,M,BDV00005302a,Sample 7,2.5,2.5,5.208,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D3,1.25E-06,M,BDV00005302a,Sample 7,2.5,2.5,5.206,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G3,1.25E-06,M,BDV00005304a,Sample 5,2.5,2.5,4.932,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H3,1.25E-06,M,BDV00005304a,Sample 5,2.5,2.5,4.93,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H2,2.5E-06,M,BDV00005304a,Sample 5,5,5,4.925,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G2,2.5E-06,M,BDV00005304a,Sample 5,5,5,4.92,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,G1,5E-06,M,BDV00005304a,Sample 5,10,10,4.91,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,H1,5E-06,M,BDV00005304a,Sample 5,10,10,4.9,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F1,5E-06,M,BDV00005303a,Sample 1,10,10,4.633,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E1,5E-06,M,BDV00005303a,Sample 1,10,10,4.623,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E2,2.5E-06,M,BDV00005303a,Sample 1,5,5,4.618,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F2,2.5E-06,M,BDV00005303a,Sample 1,5,5,4.613,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F3,1.25E-06,M,BDV00005303a,Sample 1,2.5,2.5,4.611,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E3,1.25E-06,M,BDV00005303a,Sample 1,2.5,2.5,4.608,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M3,1.25E-06,M,BDV00005307a,Sample 3,2.5,2.5,4.693,84.401,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N3,1.25E-06,M,BDV00005307a,Sample 3,2.5,2.5,4.691,84.401,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,N2,2.5E-06,M,BDV00005307a,Sample 3,5,5,4.686,84.401,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,M2,2.5E-06,M,BDV00005307a,Sample 3,5,5,4.681,84.401,Percent,DMSO,
